Sub category,Ward Name
Public Nuisance,Bellanduru
Potholes,Singasandra
Potholes,Singasandra
Electricity,Jeevanbhima Nagar
Others,Attiguppe
Water Supply ,Domlur
Noise Pollution,Hosahalli
Bad Roads,Varthur 
Garbage,New Tippasandra
BMTC - Others,Garudachar Palya
Bad Roads,A Narayanapura
Bad Roads,Dodda Nekkundi
Clearing of Blockage of Under Ground Drainage Pipelines and Replacement of Damaged or Missing Manhole Cover,Kadugodi
Potholes,Hoodi
Bad Roads,Kadugodi
Bad Roads,Hagadur
Bad Roads,Jeevanbhima Nagar
Others,Banasavadi
Air Pollution,Kuvempu Nagar
Garbage,Kuvempu Nagar
Potholes,Arekere
Bad Roads,Varthur 
Bad Roads,Anjanapura 
Flooding of Roads and Footpaths,Puttenahalli
Potholes,New Tippasandra
Diseases,Bellanduru
Bad Roads,HAL Airport 
Parking Violations,Rajarajeshwari Nagar 
Bad Roads,HAL Airport 
Autorickshaws and Taxis,Dodda Nekkundi
Electricity,Hongasandra 
Water Supply and Services - Others,Bellanduru
Footpaths,Byatarayanapura
BMTC - Others,Lakkasandra 
Bad Roads,Benniganahalli
Traffic,A Narayanapura
Noise Pollution,Begur 
Stray Dogs,Maruthi Seva Nagar
Garbage,Bilekahalli 
NULL,Ramamurthy Nagar
Diseases,HBR Layout
Garbage,Vijnanapura
Potholes,Hoysala Nagar
Water Supply and Services - Others,New Tippasandra
Garbage,Vishveshwarapura
Garbage,C V Raman Nagar
Bad Roads,Vijnana Nagar
No Sewage Drains,Bellanduru
Need New Streetlights,Arekere
Desilting - Lakes,Arekere
Bad Roads,Arekere
Bad Roads,Ramamurthy Nagar
Bad Roads,Horamavu
Bad Roads,Varthur 
NULL,HBR Layout
Need New Streetlights,HBR Layout
Garbage,Varthur 
Stray Dogs,New Tippasandra
Traffic,Varthur 
Garbage,Bellanduru
Overflow of Storm Water Drains,Shantala Nagar
Need New Streetlights,Singasandra
Streetlights,Garudachar Palya
Stray Dogs,Yelchenahalli 
Garbage,Ejipura
Others,HSR Layout 
Bad Roads,Mangamannapalya
Stray Dogs,Madivala 
Bad Roads,HBR Layout
Garbage,Konena Agrahara
Hawkers and Vendors,C V Raman Nagar
Garbage,C V Raman Nagar
Others,Jaraganahalli 
Autorickshaws and Taxis,C V Raman Nagar
Others,Shantala Nagar
Garbage,Bellanduru
Potholes,Dodda Nekkundi
Traffic,Varthur 
Parks and playgrounds,Bellanduru
Traffic,Byatarayanapura
Clearing of Blockage of Under Ground Drainage Pipelines and Replacement of Damaged or Missing Manhole Cover,Laggere
Others,Konankunte
Bad Roads,Hoodi
Streetlights,Hoodi
Bad Roads,Hoodi
Bad Roads,Arekere
Need New Streetlights,Varthur 
Bad Roads,Arekere
Potholes,Varthur 
Potholes,Varthur 
Streetlights,Varthur 
Garbage,HSR Layout 
Crime and Safety - Others,Begur 
Bad Roads,Jalahalli
Bad Roads,New Tippasandra
Stray Dogs,Hoodi
Bad Roads,Singasandra
Potholes,Anjanapura 
Potholes,HSR Layout 
Hawkers and Vendors,Hagadur
Bad Roads,Bellanduru
BMTC - Driver or Conductor,Shantala Nagar
Need New Streetlights,Horamavu
Bad Roads,Koramangala
Bad Roads,Dodda Bommasandra
Potholes,Basavanapura
Bad Roads,Ramamurthy Nagar
Potholes,Varthur 
Stray Dogs,Hampi Nagar
Traffic,C V Raman Nagar
Stray Dogs,Vasanthapura
Autorickshaws and Taxis,Bapuji Nagar
Bad Roads,Thanisandra
Bad Roads,Bellanduru
Traffic,T Dasarahalli
Garbage,Dattatreya Temple
Parks and playgrounds,Vasanthapura
Hoardings,Koramangala
Bad Roads,Dodda Nekkundi
Bad Roads,Dodda Nekkundi
Footpaths,Koramangala
Potholes,Dodda Nekkundi
Stray Dogs,Vijnana Nagar
Water Pollution,Marathahalli
Bad Roads,Bagalakunte
Potholes,New Tippasandra
Others,Arekere
Streetlights,Maruthi Seva Nagar
Others,Ramamurthy Nagar
Crime and Safety - Others,Jaraganahalli 
Potholes,Varthur 
Bad Roads,Bellanduru
Need New Streetlights,Banasavadi
Potholes,Marappana Palya
Garbage,Dayananda Nagar
Bad Roads,Horamavu
Garbage,Puttenahalli
Bad Roads,Pulikeshinagar
Parking Violations,New Tippasandra
Water Supply and Services - Others,Puttenahalli
Traffic,A Narayanapura
Traffic,A Narayanapura
Bad Roads,Varthur 
Streetlights,Horamavu
Garbage,Horamavu
Others,Koramangala
Stray Dogs,Atturu
Others,Basaveshwara Nagar
Others,Basaveshwara Nagar
Traffic,Byatarayanapura
Others,Ganesh Mandir 
Potholes,Koramangala
Potholes,Ejipura
Bad Roads,Domlur
Others,Arekere
Potholes,A Narayanapura
Water Supply and Services - Others,Vijnanapura
Bad Roads,Vasanthapura
No Sewage Drains,Gottigere
Sewage and Storm Water Drains - Others,Gottigere
Noise Pollution,Gottigere
Water Supply ,Agrahara Dasarahalli
Parking Violations,Domlur
Bad Roads,HSR Layout 
Garbage,Domlur
Traffic,Domlur
NULL,Domlur
Water Leakage,Domlur
Diseases,Domlur
Stray Dogs,Begur 
Others,Begur 
Bad Roads,HSR Layout 
"Stray Animals, Insects - Others",Hemmigepura
Bad Roads,Dodda Nekkundi
Bad Roads,Hemmigepura
Stray Dogs,Hemmigepura
Potholes,Nagavara
Bad Roads,Puttenahalli
Clearing of Blockage of Under Ground Drainage Pipelines and Replacement of Damaged or Missing Manhole Cover,Hoodi
Garbage,Benniganahalli
No Sewage Drains,Gottigere
Water Supply ,Suddagunte Palya
No Sewage Drains,Atturu
Potholes,New Tippasandra
Potholes,Hongasandra 
Stray Dogs,Varthur 
Others,Bilekahalli 
Land Pollution,Bellanduru
Electricity,Atturu
Bad Roads,Konena Agrahara
Potholes,Dodda Nekkundi
Potholes,Thanisandra
Potholes,Jayamahal
Potholes,Deepanjali Nagar 
Unauthorized Construction,C V Raman Nagar
Bad Roads,Maruthi Mandira
Poor Maintenance of Buildings and Heritage Sites,A Narayanapura
Potholes,Kadugodi
Potholes,Agaram
Potholes,Vijnana Nagar
Potholes,Dodda Nekkundi
Bad Roads,Dodda Nekkundi
Bad Roads,Dodda Nekkundi
Garbage,C V Raman Nagar
Bad Roads,C V Raman Nagar
Potholes,HSR Layout 
Potholes,Chickpet
Water Supply ,Chickpet
Potholes,Agaram
Clearing of Blockage of Under Ground Drainage Pipelines and Replacement of Damaged or Missing Manhole Cover,Arekere
Potholes,Bellanduru
Traffic,Nagapura
Stray Dogs,Shanthi Nagar
Others,Suddagunte Palya
Potholes,Herohalli
BMTC - Need new Bus Route,Dodda Bidarakallu
Potholes,Maruthi Seva Nagar
Potholes,Mangamannapalya
Garbage,HAL Airport 
Potholes,Vishwanath Nagenahalli
Potholes,Adugodi
Potholes,Bellanduru
Potholes,Dodda Nekkundi
Garbage,Dodda Nekkundi
Potholes,C V Raman Nagar
Hawkers and Vendors,Dodda Nekkundi
Bad Roads,New Tippasandra
Potholes,Begur 
Potholes,Mangamannapalya
Bad Roads,K R Puram
Potholes,Domlur
Garbage,Sarakki
Water Supply and Services - Others,Herohalli
Bad Roads,HAL Airport 
Others,Basavanagudi 
NULL,Sarakki
Potholes,Benniganahalli
Hoardings,Hagadur
Others,Begur 
Streetlights,Hemmigepura
Potholes,Kadugodi
Parking Violations,BTM Layout 
Traffic,Bellanduru
Garbage,Vijnana Nagar
Potholes,HBR Layout
Potholes,New Tippasandra
Potholes,New Tippasandra
Potholes,Hongasandra 
Parks and playgrounds,Basaveshwara Nagar
Potholes,Nagavara
Potholes,Kadugodi
Others,Shakambari Nagar 
Potholes,New Tippasandra
Parking Violations,New Tippasandra
Potholes,Jogupalya
Stray Dogs,Puttenahalli
Potholes,Jayanagar 
Parks and playgrounds,HSR Layout 
Parking Violations,Mattikere
Bad Roads,Jalahalli
Electricity,Singasandra
Bad Roads,Horamavu
Potholes,Benniganahalli
Potholes,J P Park
Stray Dogs,Girinagar 
"Stray Animals, Insects - Others",Mangamannapalya
Hoardings,Sarakki
Potholes,Hoysala Nagar
Potholes,Jalahalli
Noise Pollution,Benniganahalli
Potholes,Bilekahalli 
Others,Jaraganahalli 
Potholes,Girinagar 
Potholes,Hoodi
Air Pollution,Begur 
Stray Dogs,Ganesh Mandir 
Parking Violations,Ganesh Mandir 
Potholes,Vijnana Nagar
Parking Violations,Ganesh Mandir 
Potholes,Ramamurthy Nagar
Potholes,New Tippasandra
Potholes,Bellanduru
Potholes,Kengeri 
Potholes,Kengeri 
Potholes,Horamavu
Others,Sriramamandira 
Footpaths,Dodda Nekkundi
Bad Roads,Horamavu
Potholes,HAL Airport 
Potholes,Bellanduru
Bad Roads,Horamavu
NULL,Garudachar Palya
Bad Roads,Garudachar Palya
Bad Roads,Aramane Nagara
Potholes,C V Raman Nagar
Potholes,Shantala Nagar
Potholes,Nayandahalli
Potholes,JP Nagar 
Potholes,Jakkuru
Potholes,Hoysala Nagar
Water Supply ,Hongasandra 
Potholes,Vijnana Nagar
Garbage,Hongasandra 
Flooding of Roads and Footpaths,Sampangiram Nagar
Garbage,Vijnana Nagar
Potholes,Begur 
Potholes,Sagayarapuram
Bad Roads,HAL Airport 
Bad Roads,Mahalakshimpuram
Garbage,Dodda Nekkundi
Stray Dogs,Jayachamarajendra Nagar
Bad Roads,Koramangala
Diseases,Horamavu
Potholes,Vasanth Nagar
Garbage,Konankunte
Potholes,A Narayanapura
Streetlights,Horamavu
Potholes,Hosakerehalli
Garbage,HSR Layout 
Potholes,C V Raman Nagar
Potholes,HBR Layout
Potholes,Uttarahalli
Garbage,Begur 
Potholes,Other
Potholes,Other
Potholes,Other
Potholes,Vishwanath Nagenahalli
Potholes,Hoodi
Potholes,Kamakshipalya
Potholes,Nagavara
Potholes,Bellanduru
Potholes,K R Puram
Potholes,Jnana Bharathi
Potholes,Nagavara
Potholes,Kaval Bairasandra
Bad Roads,Hoodi
Potholes,Dodda Nekkundi
Potholes,K R Puram
Others,Pattabhiram Nagar 
Need New Streetlights,Gottigere
Potholes,A Narayanapura
Bad Roads,Horamavu
Potholes,Suddagunte Palya
Potholes,Bellanduru
Potholes,Domlur
Stray Dogs,HAL Airport 
Footpaths,HAL Airport 
Potholes,Dodda Nekkundi
Potholes,Dr Raj Kumar 
Garbage,Agrahara Dasarahalli
Potholes,Dodda Nekkundi
Traffic,Garudachar Palya
Potholes,Kadugodi
Bad Roads,Byatarayanapura
Potholes,Suddagunte Palya
Potholes,T Dasarahalli
Others,Shanthi Nagar
Potholes,Jayanagar 
Clearing of Blockage of Under Ground Drainage Pipelines and Replacement of Damaged or Missing Manhole Cover,Kaveripura
Bad Roads,Kamakshipalya
Potholes,Hoysala Nagar
Crime and Safety - Others,BTM Layout 
Clearing of Blockage of Under Ground Drainage Pipelines and Replacement of Damaged or Missing Manhole Cover,Pulikeshinagar
Autorickshaws and Taxis,Shantala Nagar
Diseases,New Tippasandra
Others,Jayamahal
Garbage,Konankunte
Footpaths,Konankunte
Bad Roads,Okalipuram
Bad Roads,BTM Layout 
Potholes,Vijnana Nagar
Garbage,Arekere
Mosquitos,Dharmaraya Swamy Temple
Potholes,HBR Layout
Potholes,Sampangiram Nagar
Potholes,Bellanduru
Potholes,Vishveshwarapura
Water Supply ,HSR Layout 
Potholes,Domlur
Potholes,New Tippasandra
Bad Roads,Hoodi
Bad Roads,Dodda Nekkundi
Potholes,Mattikere
Parking Violations,Benniganahalli
Others,Shantala Nagar
Potholes,New Tippasandra
Footpaths,Dodda Nekkundi
Footpaths,Shantala Nagar
Removal of Encroachment - Lakes,Arekere
Others,Benniganahalli
Potholes,HMT
Bad Roads,Ejipura
Noise Pollution,Ulsoor
Potholes,Hoysala Nagar
Potholes,Kacharkanahalli
Potholes,Hagadur
Potholes,Singasandra
Potholes,Adugodi
BMTC - Need new Bus Route,Kengeri 
Water Leakage,Koramangala
Clearing of Blockage of Under Ground Drainage Pipelines and Replacement of Damaged or Missing Manhole Cover,Shantala Nagar
Potholes,Kaval Bairasandra
Noise Pollution,Ejipura
Need New Streetlights,Shantala Nagar
Stray Dogs,Puttenahalli
Potholes,Singasandra
Potholes,Jayachamarajendra Nagar
Garbage,Agaram
Stray Dogs,Kadugodi
Potholes,Kaval Bairasandra
NULL,Govindaraja Nagar
Stray Dogs,Kushal Nagar
Potholes,Uttarahalli
Footpaths,Dodda Nekkundi
Bad Roads,New Tippasandra
Stray Dogs,Sarvagna Nagar
Potholes,Bommanahalli
Bad Roads,Ejipura
Stray Dogs,HSR Layout 
Bad Roads,Byatarayanapura
Water Leakage,Girinagar 
Bad Roads,Shantala Nagar
Footpaths,Shantala Nagar
Footpaths,Yelahanka Satellite Town 
Potholes,Hoysala Nagar
Potholes,Jakkuru
Potholes,Dodda Nekkundi
Bad Roads,Thanisandra
Bad Roads,Hampi Nagar
Bad Roads,Varthur 
Clearing of Blockage of Under Ground Drainage Pipelines and Replacement of Damaged or Missing Manhole Cover,Kadugodi
Bad Roads,Kadugodi
Water Supply and Services - Others,Kadugodi
Streetlights,Kadugodi
Public Nuisance,Rajarajeshwari Nagar 
Bad Roads,Karisandra
Hawkers and Vendors,Kadu Malleshwara
Overflow of Storm Water Drains,Lakkasandra 
Bad Roads,K R Puram
Garbage,Kadugodi
Streetlights,Bellanduru
Potholes,HAL Airport 
Others,Gurappanpalya
Potholes,New Tippasandra
Others,Aramane Nagara
Potholes,Marappana Palya
Bad Roads,HAL Airport 
Others,Radhakrishna Temple 
Streetlights,Yelahanka Satellite Town 
Traffic,Marathahalli
Others,Bellanduru
Desilting - Lakes,Bellanduru
Others,Vijnanapura
Water Pollution,Arekere
Stray Dogs,Ejipura
BMTC - Driver or Conductor,Bellanduru
Footpaths,Hoodi
Others,Mallassandra
Potholes,HAL Airport 
Others,Kadugodi
Potholes,Hoodi
Parking Violations,Hoodi
Electricity,Vishwanath Nagenahalli
Garbage,Anjanapura 
Potholes,Kaveripura
Stray Dogs,Konena Agrahara
Stray Dogs,Jayachamarajendra Nagar
Potholes,Bellanduru
Potholes,Jogupalya
Potholes,Hoodi
Traffic,Garudachar Palya
Garbage,HSR Layout 
Stray Dogs,Madivala 
Water Supply ,K R Puram
Potholes,Koramangala
Potholes,C V Raman Nagar
Potholes,HAL Airport 
Bad Roads,HAL Airport 
Footpaths,HBR Layout
Footpaths,Koramangala
Potholes,New Tippasandra
Others,Kadugodi
Bad Roads,Begur 
Stray Dogs,Konena Agrahara
Footpaths,Vishwanath Nagenahalli
Bad Roads,Vishwanath Nagenahalli
Electricity,Shanthi Nagar
Stray Dogs,Banasavadi
NULL,Katriguppe
Potholes,Bellanduru
Potholes,Kadugodi
Stray Dogs,Ejipura
Potholes,HAL Airport 
Potholes,Gottigere
Potholes,Koramangala
Water Supply ,Aramane Nagara
Parks and playgrounds,Padmanabha Nagar 
Others,Garudachar Palya
Electricity,Atturu
Garbage,Konankunte
Air Pollution,Bellanduru
Bad Roads,Bellanduru
Potholes,Agaram
Hawkers and Vendors,J P Park
Illegal posters and Hoardings,HSR Layout 
Potholes,BTM Layout 
Bad Roads,Bellanduru
Potholes,Thanisandra
Bad Roads,K R Puram
Potholes,Begur 
Streetlights,Arekere
Others,Shantala Nagar
Streetlights,Singasandra
Bad Roads,New Tippasandra
Bad Roads,Arekere
Potholes,Domlur
Potholes,Nagarabhavi 
Garbage,Hemmigepura
Potholes,Dodda Nekkundi
Footpaths,Yelahanka Satellite Town 
Bad Roads,Herohalli
Potholes,Vijnana Nagar
Garbage,Bellanduru
Stray Dogs,Kumaraswamy Layout 
Others,JP Nagar 
Public Nuisance,BTM Layout 
Stray Dogs,Dattatreya Temple
Need New Streetlights,Horamavu
Potholes,Ganesh Mandir 
Stray Dogs,Byatarayanapura
Potholes,Aramane Nagara
Stray Dogs,HAL Airport 
Potholes,Bommanahalli
Water Meter,Devasandra
Potholes,Vijnanapura
Potholes,Chowdeshwari
Bad Roads,Jalahalli
Hoardings,Kacharkanahalli
Garbage,Benniganahalli
Potholes,Bilekahalli 
Stray Dogs,Dodda Nekkundi
Stray Dogs,Ramamurthy Nagar
Others,Hoysala Nagar
Potholes,Thanisandra
Clearing of Blockage of Under Ground Drainage Pipelines and Replacement of Damaged or Missing Manhole Cover,Kadugodi
Potholes,Bilekahalli 
Others,Shanthi Nagar
Air Pollution,Domlur
Potholes,Jayachamarajendra Nagar
Bad Roads,Vasanth Nagar
Potholes,Gandhi Nagar
Others,Karisandra
Bad Roads,Lakkasandra 
