Sub category,Ward Name
Potholes,A Narayanapura
Potholes,A Narayanapura
Potholes,A Narayanapura
Potholes,A Narayanapura
Potholes,A Narayanapura
Potholes,A Narayanapura
Potholes,Adugodi
Potholes,Adugodi
Potholes,Adugodi
Potholes,Agaram
Potholes,Agaram
Potholes,Agaram
Potholes,Agaram
Potholes,Agaram
Potholes,Agaram
Potholes,Agaram
Potholes,Agaram
Potholes,Agaram
Potholes,Agaram
Potholes,Agaram
Potholes,Agaram
Potholes,Anjanapura 
Potholes,Anjanapura 
Potholes,Anjanapura 
Potholes,Anjanapura 
Potholes,Aramane Nagara
Potholes,Aramane Nagara
Potholes,Aramane Nagara
Potholes,Aramane Nagara
Potholes,Arekere
Potholes,Arekere
Potholes,Arekere
Potholes,Arekere
Potholes,Arekere
Potholes,Arekere
Potholes,Atturu
Potholes,Atturu
Potholes,BTM Layout 
Potholes,Banasavadi
Potholes,Banasavadi
Potholes,Banasavadi
Potholes,Banasavadi
Potholes,Banasavadi
Potholes,Basavanapura
Potholes,Basavanapura
Potholes,Basavanapura
Potholes,Begur 
Potholes,Begur 
Potholes,Begur 
Potholes,Begur 
Potholes,Begur 
Potholes,Begur 
Potholes,Begur 
Potholes,Begur 
Potholes,Begur 
Potholes,Begur 
Potholes,Begur 
Potholes,Begur 
Potholes,Begur 
Potholes,Begur 
Potholes,Begur 
Potholes,Begur 
Potholes,Begur 
Potholes,Begur 
Potholes,Begur 
Potholes,Begur 
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Bellanduru
Potholes,Benniganahalli
Potholes,Benniganahalli
Potholes,Benniganahalli
Potholes,Bilekahalli 
Potholes,Bilekahalli 
Potholes,Bilekahalli 
Potholes,Bilekahalli 
Potholes,Bilekahalli 
Potholes,Bilekahalli 
Potholes,Bilekahalli 
Potholes,Bilekahalli 
Potholes,Bilekahalli 
Potholes,Bilekahalli 
Potholes,Bilekahalli 
Potholes,Bilekahalli 
Potholes,Bilekahalli 
Potholes,Bommanahalli
Potholes,Bommanahalli
